productid,weight,fat_content,category,outlet_type
100126,11,Low Fat,Meat,Supermarket Type1
100127,5.765,Low Fat,Baking Goods,Supermarket Type2
100128,13.8,Low Fat,Canned,Supermarket Type2
100129,13.8,Low Fat,Canned,Supermarket Type1
100130,5.44,Regular,Baking Goods,Supermarket Type2
100131,12.8,Low Fat,Fruits and Vegetables,Supermarket Type1
100132,6.13,Low Fat,Household,Supermarket Type1
100133,8.195,Low Fat,Baking Goods,Grocery Store
100134,14.15,Low Fat,Soft Drinks,Supermarket Type1
100135,,Low Fat,Frozen Foods,Grocery Store
100136,16.75,Low Fat,Snack Foods,Supermarket Type2
100137,14.3,LF,Baking Goods,Supermarket Type1
100138,,LF,Canned,Grocery Store
100139,5.635,Low Fat,Baking Goods,Supermarket Type1
100140,5.73,Low Fat,Soft Drinks,Grocery Store
100141,7.155,Regular,Breads,Supermarket Type1
100142,15.2,low fat,Soft Drinks,Supermarket Type1
100143,15.25,Low Fat,Household,Supermarket Type1
100144,10.395,Regular,Dairy,Supermarket Type1
100145,8.76,Low Fat,Health and Hygiene,Supermarket Type1
100146,9.13,Low Fat,Household,Supermarket Type1
100147,,Low Fat,Fruits and Vegetables,Supermarket Type3
100148,19.6,Low Fat,Household,Supermarket Type1
100149,,Low Fat,Household,Supermarket Type3
100150,20.35,Low Fat,Snack Foods,Supermarket Type1
100151,10,Low Fat,Fruits and Vegetables,Supermarket Type1
100152,11.3,Low Fat,Household,Grocery Store
100153,6.57,Low Fat,Hard Drinks,Supermarket Type1
100154,13.15,Low Fat,Household,Supermarket Type2
100155,4.635,Low Fat,Breads,Supermarket Type1
100156,10.6,Regular,Breakfast,Supermarket Type2
100157,9.3,Low Fat,Breads,Supermarket Type1
100158,7.02,Low Fat,Dairy,Supermarket Type1
100159,13.8,Low Fat,Dairy,Supermarket Type1
100160,7.825,Regular,Frozen Foods,Supermarket Type1
100161,19.1,Low Fat,Others,Supermarket Type1
100162,7.51,Low Fat,Fruits and Vegetables,Supermarket Type1
100163,8.85,Low Fat,Fruits and Vegetables,Supermarket Type1
100164,17.35,Low Fat,Frozen Foods,Supermarket Type1
100165,17.75,Low Fat,Baking Goods,Grocery Store
100166,,Regular,Baking Goods,Supermarket Type3
100167,16.6,Low Fat,Fruits and Vegetables,Supermarket Type1
100168,15.15,Low Fat,Baking Goods,Supermarket Type1
100169,5.46,Regular,Canned,Grocery Store
100170,9.5,Regular,Starchy Foods,Supermarket Type1
100171,13.5,LF,Household,Supermarket Type1
100172,8.275,Low Fat,Household,Grocery Store
100173,10.8,Regular,Baking Goods,Grocery Store
100174,5.635,Low Fat,Baking Goods,Supermarket Type1
100175,7.51,Low Fat,Fruits and Vegetables,Supermarket Type2
100176,,Low Fat,Baking Goods,Supermarket Type3
100177,,Low Fat,Meat,Supermarket Type3
100178,,Regular,Baking Goods,Supermarket Type3
100179,,Low Fat,Soft Drinks,Supermarket Type3
100180,15.5,Regular,Fruits and Vegetables,Supermarket Type1
100181,4.905,low fat,Canned,Supermarket Type2
100182,9.285,Regular,Frozen Foods,Supermarket Type1
100183,8.97,Low Fat,Household,Supermarket Type1
100184,18.75,Low Fat,Health and Hygiene,Grocery Store
100185,8.895,Low Fat,Household,Supermarket Type1
100186,16.35,Low Fat,Fruits and Vegetables,Supermarket Type1
100187,10.195,Regular,Starchy Foods,Supermarket Type1
100188,9.5,Low Fat,Hard Drinks,Supermarket Type1
100189,12.1,Low Fat,Household,Supermarket Type1
100190,12.5,Low Fat,Fruits and Vegetables,Supermarket Type1
100191,15.2,Low Fat,Snack Foods,Supermarket Type2
100192,5.635,Low Fat,Baking Goods,Supermarket Type1
100193,,Regular,Canned,Grocery Store
100194,8.895,Regular,Snack Foods,Supermarket Type1
100195,,Low Fat,Household,Supermarket Type3
100196,,Regular,Fruits and Vegetables,Grocery Store
100197,6.89,Regular,Snack Foods,Supermarket Type1
100198,16.25,Low Fat,Fruits and Vegetables,Supermarket Type1
100199,,Low Fat,Frozen Foods,Grocery Store
100200,,Regular,Snack Foods,Supermarket Type3
100201,13.85,Low Fat,Soft Drinks,Supermarket Type1
100202,16.75,Low Fat,Snack Foods,Supermarket Type1
100203,18,Low Fat,Canned,Supermarket Type1
100204,9.21,Low Fat,Fruits and Vegetables,Supermarket Type2
100205,20.85,Low Fat,Meat,Supermarket Type1
100206,10,Low Fat,Fruits and Vegetables,Supermarket Type1
100207,5.48,Low Fat,Frozen Foods,Supermarket Type1
100208,19.25,Regular,Meat,Supermarket Type1
100209,18.5,Low Fat,Snack Foods,Supermarket Type1
100210,,Regular,Canned,Supermarket Type3
100211,,LF,Household,Grocery Store
100212,15.7,Regular,Meat,Supermarket Type2
100213,20.25,Regular,Canned,Supermarket Type1
100214,10.8,LF,Snack Foods,Supermarket Type1
100215,18.5,Low Fat,Others,Supermarket Type1
100216,,Regular,Meat,Grocery Store
100217,,Regular,Frozen Foods,Supermarket Type3
100218,18,Low Fat,Canned,Supermarket Type1
100219,10.5,Low Fat,Household,Supermarket Type1
100220,,Low Fat,Hard Drinks,Grocery Store
100221,14,Regular,Frozen Foods,Supermarket Type1
100222,15.6,Regular,Snack Foods,Supermarket Type1
100223,11.6,Low Fat,Canned,Supermarket Type1
100224,16.25,Low Fat,Household,Supermarket Type1
100225,20.5,Low Fat,Starchy Foods,Supermarket Type1
100226,5.035,Regular,Breads,Supermarket Type2
100227,17.6,Low Fat,Health and Hygiene,Supermarket Type1
100228,,Low Fat,Snack Foods,Grocery Store
100229,8.68,Low Fat,Frozen Foods,Supermarket Type1
100230,17.5,Low Fat,Snack Foods,Supermarket Type1
100231,7.435,Low Fat,Starchy Foods,Grocery Store
100232,8.71,Low Fat,Canned,Supermarket Type1
100233,5.34,Regular,Snack Foods,Supermarket Type1
100234,10.695,Regular,Snack Foods,Supermarket Type1
100235,14.8,Regular,Breads,Supermarket Type1
100236,18,Low Fat,Health and Hygiene,Supermarket Type1
100237,12.15,Low Fat,Household,Supermarket Type1
100238,,Regular,Frozen Foods,Grocery Store
100239,21.2,Regular,Starchy Foods,Supermarket Type1
100240,8.3,Low Fat,Fruits and Vegetables,Grocery Store
100241,9.06,Low Fat,Others,Supermarket Type1
100242,5.095,reg,Snack Foods,Grocery Store
100243,11.15,Low Fat,Baking Goods,Supermarket Type1
100244,5.34,Regular,Snack Foods,Grocery Store
100245,19.75,Low Fat,Fruits and Vegetables,Supermarket Type1
100246,19.6,Low Fat,Dairy,Supermarket Type1
100247,10.695,Low Fat,Household,Supermarket Type1
100248,9.42,Regular,Frozen Foods,Grocery Store
100249,13.5,Regular,Snack Foods,Supermarket Type1
100250,19.35,Regular,Fruits and Vegetables,Supermarket Type1
100251,9,Low Fat,Snack Foods,Grocery Store
100252,,Regular,Frozen Foods,Grocery Store
100253,20.75,Low Fat,Snack Foods,Supermarket Type1
100254,15,Low Fat,Snack Foods,Supermarket Type1
100255,17.85,LF,Health and Hygiene,Supermarket Type1
100256,7.81,Low Fat,Soft Drinks,Supermarket Type1
100257,,Regular,Dairy,Supermarket Type3
100258,12.1,Low Fat,Canned,Supermarket Type1
100259,17.6,Regular,Breads,Supermarket Type1
100260,14,Low Fat,Starchy Foods,Supermarket Type1
100261,15.1,Low Fat,Household,Supermarket Type1
100262,14.5,Regular,Snack Foods,Supermarket Type2
100263,,Low Fat,Dairy,Supermarket Type3
100264,20.25,Regular,Canned,Supermarket Type1
100265,9,Low Fat,Household,Supermarket Type1
100266,11.8,Low Fat,Health and Hygiene,Supermarket Type2
100267,20.25,Low Fat,Household,Supermarket Type1
100268,7.51,Low Fat,Snack Foods,Supermarket Type1
100269,,Regular,Snack Foods,Supermarket Type3
100270,17.85,Low Fat,Snack Foods,Supermarket Type1
100271,9.1,Low Fat,Household,Supermarket Type1
100272,,Low Fat,Health and Hygiene,Supermarket Type3
100273,5.88,Low Fat,Household,Supermarket Type1
100274,15,Low Fat,Hard Drinks,Supermarket Type1
100275,16.1,Low Fat,Fruits and Vegetables,Supermarket Type1
100276,21.25,Low Fat,Snack Foods,Supermarket Type1
100277,21.1,Regular,Fruits and Vegetables,Supermarket Type1
100278,11.8,Regular,Canned,Supermarket Type1
100279,15.15,Regular,Snack Foods,Supermarket Type2
100280,,Low Fat,Dairy,Supermarket Type3
100281,5.985,Low Fat,Baking Goods,Supermarket Type2
100282,9.13,Low Fat,Household,Supermarket Type1
100283,9,Regular,Canned,Supermarket Type1
100284,,Regular,Frozen Foods,Supermarket Type3
100285,17.75,Low Fat,Dairy,Supermarket Type1
100286,,Regular,Breads,Grocery Store
100287,7.325,Low Fat,Fruits and Vegetables,Supermarket Type1
100288,12.1,Regular,Soft Drinks,Supermarket Type1
100289,14,Regular,Snack Foods,Supermarket Type1
100290,12.85,Low Fat,Snack Foods,Supermarket Type1
100291,7.535,Low Fat,Soft Drinks,Supermarket Type1
100292,16.35,Low Fat,Others,Supermarket Type1
100293,,Low Fat,Frozen Foods,Supermarket Type3
100294,,Low Fat,Fruits and Vegetables,Supermarket Type3
100295,19.2,Low Fat,Household,Supermarket Type1
100296,18.85,Low Fat,Baking Goods,Supermarket Type1
100297,14.5,Low Fat,Others,Supermarket Type1
100298,6.46,Regular,Fruits and Vegetables,Grocery Store
100299,14.15,Low Fat,Soft Drinks,Supermarket Type2
100300,20.25,Low Fat,Household,Grocery Store
100301,15.7,Low Fat,Soft Drinks,Supermarket Type1
100302,20.25,Low Fat,Household,Supermarket Type1
100303,9.6,LF,Baking Goods,Supermarket Type1
100304,20.5,Low Fat,Fruits and Vegetables,Supermarket Type1
100305,12.35,Regular,Meat,Supermarket Type1
100306,,Low Fat,Health and Hygiene,Supermarket Type3
100307,15.75,Low Fat,Household,Supermarket Type1
100308,19.2,Low Fat,Snack Foods,Supermarket Type1
100309,,Low Fat,Fruits and Vegetables,Supermarket Type3
100310,9.395,Regular,Baking Goods,Supermarket Type1
100311,18.2,Low Fat,Household,Supermarket Type1
100312,19,Low Fat,Household,Supermarket Type2
100313,4.805,Regular,Dairy,Supermarket Type1
100314,8.85,Low Fat,Household,Supermarket Type1
100315,11.65,Regular,Snack Foods,Supermarket Type2
100316,9.395,Low Fat,Snack Foods,Supermarket Type1
100317,9.695,Low Fat,Fruits and Vegetables,Supermarket Type1
100318,18.7,Regular,Frozen Foods,Supermarket Type1
100319,20.75,LF,Fruits and Vegetables,Supermarket Type2
100320,8.89,Low Fat,Frozen Foods,Supermarket Type1
100321,12.6,Low Fat,Health and Hygiene,Supermarket Type2
100322,12.6,Low Fat,Household,Supermarket Type1
100323,13.1,Regular,Frozen Foods,Supermarket Type1
100324,9.3,Regular,Snack Foods,Supermarket Type1
100325,,Regular,Meat,Supermarket Type3
100326,17.7,Regular,Fruits and Vegetables,Grocery Store
100327,17.85,Low Fat,Snack Foods,Supermarket Type1
100328,8.935,Low Fat,Frozen Foods,Supermarket Type1
100329,11.15,Low Fat,Dairy,Supermarket Type2
100330,,Low Fat,Household,Grocery Store
100331,11.1,LF,Snack Foods,Supermarket Type1
100332,10,Low Fat,Canned,Supermarket Type1
100333,,Regular,Baking Goods,Grocery Store
100334,12.8,Low Fat,Others,Supermarket Type1
100335,9.895,Regular,Canned,Supermarket Type1
100336,13.35,Low Fat,Meat,Supermarket Type1
100337,7.785,Low Fat,Dairy,Supermarket Type1
100338,,Low Fat,Health and Hygiene,Supermarket Type3
100339,16.35,Low Fat,Fruits and Vegetables,Supermarket Type1
100340,11.5,Low Fat,Fruits and Vegetables,Supermarket Type2
100341,15.2,Low Fat,Soft Drinks,Supermarket Type1
100342,19.35,Low Fat,Fruits and Vegetables,Supermarket Type1
100343,19.5,Regular,Soft Drinks,Supermarket Type1
100344,16.1,Regular,Fruits and Vegetables,Supermarket Type1
100345,,Low Fat,Soft Drinks,Supermarket Type3
100346,18.5,Regular,Dairy,Supermarket Type1
100347,,Low Fat,Starchy Foods,Supermarket Type3
100348,15.1,Regular,Fruits and Vegetables,Supermarket Type1
100349,17.25,Regular,Snack Foods,Supermarket Type1
100350,19,LF,Household,Supermarket Type1
100351,10.6,Regular,Breakfast,Supermarket Type1
100352,,Low Fat,Frozen Foods,Grocery Store
100353,15.2,Low Fat,Soft Drinks,Supermarket Type1
100354,5.845,Regular,Frozen Foods,Supermarket Type1
100355,6.57,Low Fat,Household,Supermarket Type2
100356,21.1,Low Fat,Household,Supermarket Type1
100357,4.88,Regular,Baking Goods,Supermarket Type1
100358,19.35,Low Fat,Meat,Supermarket Type1
100359,11.1,Low Fat,Snack Foods,Supermarket Type1
100360,19.35,Low Fat,Snack Foods,Grocery Store
100361,9.395,Regular,Fruits and Vegetables,Supermarket Type1
100362,8.1,Regular,Canned,Supermarket Type1
100363,9.1,LF,Household,Supermarket Type1
100364,9.395,Regular,Soft Drinks,Supermarket Type2
100365,6.59,Low Fat,Household,Supermarket Type2
100366,15.6,Low Fat,Fruits and Vegetables,Supermarket Type2
100367,20.85,Low Fat,Fruits and Vegetables,Supermarket Type1
100368,17.7,Regular,Frozen Foods,Supermarket Type1
100369,12.35,reg,Meat,Supermarket Type1
100370,11,Regular,Fruits and Vegetables,Supermarket Type1
100371,,Regular,Meat,Grocery Store
100372,,LF,Household,Grocery Store
100373,,Low Fat,Meat,Supermarket Type3
100374,15.1,Regular,Snack Foods,Supermarket Type1
100375,10.3,Low Fat,Fruits and Vegetables,Supermarket Type1
100376,7.035,Low Fat,Frozen Foods,Supermarket Type1
100377,12.65,Low Fat,Baking Goods,Grocery Store
100378,15.15,Low Fat,Baking Goods,Supermarket Type1
100379,19.75,Low Fat,Snack Foods,Supermarket Type1
100380,5.34,Regular,Snack Foods,Supermarket Type1
100381,12,Low Fat,Canned,Supermarket Type1
100382,6.28,Low Fat,Soft Drinks,Supermarket Type1
100383,,Low Fat,Fruits and Vegetables,Grocery Store
100384,10,Low Fat,Snack Foods,Supermarket Type1
100385,,Low Fat,Snack Foods,Grocery Store
100386,19.5,Low Fat,Household,Grocery Store
100387,10.695,Regular,Breakfast,Supermarket Type1
100388,17,Low Fat,Health and Hygiene,Supermarket Type1
100389,6.78,Regular,Baking Goods,Supermarket Type1
100390,12.8,Regular,Dairy,Supermarket Type1
100391,15.7,Regular,Snack Foods,Supermarket Type1
100392,17.7,Low Fat,Household,Supermarket Type1
100393,,Low Fat,Snack Foods,Grocery Store
100394,19.85,Low Fat,Fruits and Vegetables,Supermarket Type1
100395,16.25,Regular,Fruits and Vegetables,Supermarket Type1
100396,9.395,Regular,Frozen Foods,Supermarket Type1
100397,16.85,Regular,Snack Foods,Supermarket Type1
100398,,Low Fat,Snack Foods,Supermarket Type3
100399,10.1,Low Fat,Household,Supermarket Type2
100400,12.15,Low Fat,Starchy Foods,Supermarket Type1
100401,10.895,Low Fat,Others,Supermarket Type1
100402,,Regular,Frozen Foods,Supermarket Type3
100403,,Regular,Dairy,Grocery Store
100404,17.1,Low Fat,Household,Supermarket Type1
100405,19.75,Low Fat,Fruits and Vegetables,Supermarket Type1
100406,15.85,Low Fat,Snack Foods,Supermarket Type1
100407,14.85,Low Fat,Canned,Supermarket Type1
100408,16.25,Low Fat,Canned,Supermarket Type1
100409,15.1,Low Fat,Household,Grocery Store
100410,16.35,Low Fat,Household,Supermarket Type1
100411,13.15,Low Fat,Household,Supermarket Type2
100412,7.71,Regular,Snack Foods,Supermarket Type1
100413,14.85,Low Fat,Canned,Supermarket Type2
100414,8.775,Low Fat,Fruits and Vegetables,Supermarket Type1
100415,,Low Fat,Health and Hygiene,Grocery Store
100416,8.1,Low Fat,Fruits and Vegetables,Supermarket Type1
100417,8.775,Low Fat,Dairy,Supermarket Type1
100418,,Regular,Snack Foods,Grocery Store
100419,,LF,Canned,Supermarket Type3
100420,15.5,Regular,Fruits and Vegetables,Supermarket Type1
100421,,Regular,Fruits and Vegetables,Supermarket Type3
100422,7.785,Low Fat,Fruits and Vegetables,Supermarket Type1
100423,6.635,Regular,Baking Goods,Supermarket Type1
100424,17.75,Regular,Fruits and Vegetables,Supermarket Type1
100425,12.15,Low Fat,Others,Supermarket Type2
100426,10.1,Low Fat,Soft Drinks,Supermarket Type1
100427,13.35,Low Fat,Dairy,Supermarket Type1
100428,18.85,Low Fat,Household,Supermarket Type1
100429,21.1,Regular,Fruits and Vegetables,Supermarket Type1
100430,6.305,Regular,Snack Foods,Supermarket Type2
100431,6.63,Regular,Baking Goods,Supermarket Type1
100432,12.1,Low Fat,Fruits and Vegetables,Grocery Store
100433,7.26,Low Fat,Meat,Supermarket Type1
100434,9.5,Regular,Snack Foods,Supermarket Type2
100435,,Low Fat,Snack Foods,Supermarket Type3
100436,16.75,Regular,Meat,Grocery Store
100437,7.365,Low Fat,Snack Foods,Supermarket Type1
100438,15.7,Regular,Meat,Supermarket Type1
100439,17.2,Regular,Canned,Supermarket Type2
100440,6.195,Regular,Baking Goods,Supermarket Type1
100441,21.2,Low Fat,Snack Foods,Supermarket Type1
100442,6.785,Regular,Meat,Supermarket Type1
100443,13.6,Regular,Frozen Foods,Supermarket Type2
100444,8.85,Low Fat,Fruits and Vegetables,Supermarket Type2
100445,15.6,Regular,Snack Foods,Supermarket Type1
100446,16.75,Low Fat,Dairy,Supermarket Type1
100447,14.15,Low Fat,Snack Foods,Supermarket Type1
100448,,Low Fat,Others,Supermarket Type3
100449,6.575,Regular,Breads,Supermarket Type2
100450,5.98,Low Fat,Fruits and Vegetables,Grocery Store
100451,5.63,Regular,Meat,Grocery Store
100452,20.7,Low Fat,Canned,Supermarket Type1
100453,11,Low Fat,Breads,Supermarket Type1
100454,6.03,Low Fat,Dairy,Supermarket Type1
100455,18.6,Low Fat,Breakfast,Supermarket Type1
100456,,Regular,Fruits and Vegetables,Supermarket Type3
100457,10.3,Regular,Snack Foods,Supermarket Type1
100458,20.25,Regular,Fruits and Vegetables,Supermarket Type1
100459,16.7,Regular,Baking Goods,Supermarket Type1
100460,7.315,Low Fat,Snack Foods,Supermarket Type1
100461,10.1,Low Fat,Household,Supermarket Type1
100462,9.42,Regular,Frozen Foods,Supermarket Type1
100463,6.135,Regular,Baking Goods,Supermarket Type2
100464,,Low Fat,Others,Supermarket Type3
100465,,Low Fat,Household,Grocery Store
100466,20.5,LF,Fruits and Vegetables,Supermarket Type1
100467,13.85,Low Fat,Others,Supermarket Type1
100468,12.6,Regular,Dairy,Supermarket Type1
100469,20.85,Regular,Breads,Supermarket Type1
100470,15.7,Low Fat,Baking Goods,Supermarket Type1
100471,19.7,Low Fat,Frozen Foods,Supermarket Type2
100472,12.15,Regular,Fruits and Vegetables,Supermarket Type1
100473,15.85,Regular,Frozen Foods,Grocery Store
100474,,Regular,Frozen Foods,Grocery Store
100475,14,Regular,Snack Foods,Supermarket Type1
100476,15.5,Regular,Fruits and Vegetables,Supermarket Type1
100477,11.3,Low Fat,Meat,Supermarket Type1
100478,,Regular,Canned,Grocery Store
100479,5.695,Regular,Breads,Grocery Store
100480,16,Low Fat,Dairy,Supermarket Type1
100481,8.6,Low Fat,Household,Supermarket Type2
100482,,Regular,Snack Foods,Supermarket Type3
100483,7.475,Low Fat,Fruits and Vegetables,Supermarket Type1
100484,9.5,Regular,Frozen Foods,Supermarket Type1
100485,13.65,Regular,Fruits and Vegetables,Supermarket Type1
100486,12.1,Low Fat,Baking Goods,Supermarket Type1
100487,6.425,Low Fat,Fruits and Vegetables,Supermarket Type1
100488,7.39,Low Fat,Household,Supermarket Type1
100489,6.775,Low Fat,Household,Supermarket Type1
100490,6.965,Low Fat,Household,Supermarket Type2
100491,17.5,Low Fat,Snack Foods,Supermarket Type1
100492,16.6,Low Fat,Household,Supermarket Type1
100493,11.65,Regular,Snack Foods,Supermarket Type1
100494,19.6,Regular,Snack Foods,Grocery Store
100495,,Low Fat,Fruits and Vegetables,Supermarket Type3
100496,16.6,Low Fat,Fruits and Vegetables,Supermarket Type1
100497,,Low Fat,Household,Supermarket Type3
100498,17.7,Low Fat,Dairy,Supermarket Type1
100499,16.25,reg,Fruits and Vegetables,Supermarket Type1
100500,11.6,Low Fat,Soft Drinks,Supermarket Type1
100501,9.6,Regular,Snack Foods,Grocery Store
100502,10.395,Regular,Dairy,Supermarket Type1
100503,6.86,Low Fat,Household,Supermarket Type1
100504,7.35,Low Fat,Fruits and Vegetables,Supermarket Type1
100505,8.8,Low Fat,Snack Foods,Supermarket Type2
100506,7.905,Low Fat,Frozen Foods,Grocery Store
100507,10,Low Fat,Snack Foods,Supermarket Type1
100508,,Low Fat,Fruits and Vegetables,Supermarket Type3
100509,15.35,Low Fat,Soft Drinks,Supermarket Type1
100510,19.85,Low Fat,Fruits and Vegetables,Supermarket Type2
100511,17.75,Low Fat,Dairy,Supermarket Type1
100512,,Low Fat,Frozen Foods,Grocery Store
100513,16.6,Low Fat,Health and Hygiene,Supermarket Type1
100514,5.735,Low Fat,Fruits and Vegetables,Supermarket Type1
100515,6.55,Regular,Breads,Supermarket Type1
100516,,Low Fat,Frozen Foods,Grocery Store
100517,7.35,Regular,Fruits and Vegetables,Supermarket Type1
100518,8.115,Regular,Canned,Supermarket Type1
100519,,LF,Snack Foods,Grocery Store
100520,8.05,Regular,Dairy,Supermarket Type1
